Year,Name,Chinese Name,JMA ID,"Highest TC Warning Signal Issued During this Passage",Times of Passages,"Issuance Date of First TC Warning Signal During this Passage","Cancellation Date of all TC Warning Signal During this Passage","Duration of all Issued TC Warning Signals During this Passage (hh:mm)","Lifespan Max Intensity Classification","Estimated Min Central Pressure of the TC (hPa) when Closest to HK","Closest Distance to HK (km)","Closest Approach Bearing"
2020,Higos,海高斯,2007,9,1,18/08/2020,19/08/2020,33:40,T,980,80,WSW
2020,Nangka,浪卡,2016,8,1,11/10/2020,14/10/2020,54:00,TS,988,440,S
2020,Saudel,沙德爾,2017,3,1,22/10/2020,24/10/2020,39:30,T,972,490,S
2021,Koguma,小熊,2104,1,1,11/06/2021,12/06/2021,21:55,TS,998,480,SSW
2021,no name(E),無名(東),NR,1,1,06/07/2021,07/07/2021,33:55,TD,1002,610,E
2021,no name(W),無名(西),NR,1,1,06/07/2021,07/07/2021,33:55,TD,998,570,SSW
2021,Cempaka,查帕卡,2107,3,1,18/07/2021,20/07/2021,46:00,T,998,180,SSW
2021,Lupit,盧碧,2109,3,1,02/08/2021,04/08/2021,44:40,TS,992,110,SSW
2021,Lionrock,獅子山,2117,8,1,08/10/2021,10/10/2021,57:40,TS,990,490,SW
2021,Kompasu,圓規,2118,8,1,12/10/2021,14/10/2021,53:40,T,975,360,S
2021,Rai,雷伊,2122,1,1,20/12/2021,21/12/2021,25:00,SuperT,1002,140,SSE
2022,Chaba,暹芭,2203,8,1,29/06/2022,03/07/2022,94:30,T,965,310,WSW
2022,no name,無名,NR,1,1,03/08/2022,04/08/2022,16:30,TD,1002,80,NE
2022,Mulan,木蘭,2207,3,1,09/08/2022,10/08/2022,38:40,TS,994,400,SW
2022,Ma-on,馬鞍,2209,8,1,23/08/2022,25/08/2022,43:00,T,978,190,SSW
2022,Nesat,納沙,2220,3,1,16/10/2022,18/10/2022,42:20,T,965,380,SSE
2022,Nalgae,尼格,2222,8,1,30/10/2022,03/11/2022,80:10,STS,998,40,SW
2023,Talim,泰利,2304,8,1,15/07/2023,18/07/2023,76:00,T,965,250,SSW
2023,Doksuri,杜蘇芮,2305,1,1,26/07/2023,28/07/2023,40:00,SuperT,930,500,E
2023,Saola,蘇拉,2309,10,1,30/08/2023,02/09/2023,78:00,SuperT,945,40,SSE
2023,Haikui,海葵,2311,1,1,04/09/2023,05/09/2023,41:00,ST,1000,250,NE
2023,Koinu,小犬,2314,9,1,04/10/2023,09/10/2023,114:40,ST,955,70,S
